,1'st,2'nd,3'rd,4'th,5'th,6'th,7'th,8'th,9'th,10'th,11'th,12'th,13'th,15'th,14'th,16'th,17'th,18'th,19'th
none,32.43483280785115,26.3984487173794,16.950624410991214,10.170177282393633,6.154802611128381,3.5076552639499483,1.8379541226914555,1.0031035520622091,0.5254821854137988,0.2624943874555314,0.13026037272229377,0.07006429138850649,0.037005787705197093,0.010361620557455186,0.021216651617646333,0.004440694524623651,0.002467052513679806,0.0014802315082078838,0.0
axion.hep.caltech.edu,5.63294891140332,16.76546669540849,8.805103470575554,5.942821728820866,3.6066501401164044,1.7541496012071567,0.8023011424876051,0.38666738521233024,0.20209096788100883,0.10306639361931451,0.053890924768269025,0.01953546022849752,0.008757275274843716,0.0020209096788100884,0.0026945462384134512,0.0,0.0,0.0,0.0006736365596033628
l-pilot.lunarc.lu.se,7.3838271271159055,1.8605463933161446,0.26937203674274146,0.16650291132813272,0.14573126100402903,0.054072232589730235,0.030333203647897447,0.01681514550046489,0.00527533976485173,0.002637669882425865,0.00032970873530323313,0.0009891262059096993,0.0006594174706064663,0.0009891262059096993,0.00032970873530323313,0.00032970873530323313,0.0,0.0,0.0
arcce1.slac.stanford.edu,1.293673100906502,4.9866909889618976,0.7873722614150364,0.3145766245369767,0.17683301379297509,0.1154068090017311,0.10237700798540662,0.07259460566237924,0.03908940304897344,0.013029801016324479,0.0074456005807568455,0.013029801016324479,0.0037228002903784228,0.0037228002903784228,0.0,0.0,0.0,0.0,0.0
ldmx.cnsi.ucsb.edu,2.843316267468643,9.094435096010407,4.925829126538017,2.1905171076342893,1.059754394758512,0.7769145394006659,0.6498156170563174,0.37592639003258027,0.16946522979246476,0.10263387156445049,0.047736684448581625,0.031625553447185324,0.012530879667752676,0.006563794111679973,0.008950628334109055,0.0023868342224290812,0.0011934171112145406,0.0005967085556072703,0.0005967085556072703
