index,1st file,2nd file,3rd file,4th file,5th file,6th file,7th file,8th file,9th file,10th file,11th file,12th file,13th file,14th file,15th file,16th file,17th file,18th file,19th file,20th file,21th file,22th file,23th file,24th file,25th file,26th file,27th file,28th file,29th file,30th file,31th file,32th file,33th file,34th file,35th file,36th file,37th file
axion.hep.caltech.edu,0.19794436375823932,0.559334152608647,0.2941347335493241,0.1985923360518378,0.12260082672327115,0.060060328454921236,0.027080773097977878,0.013048821360741817,0.006814881018880572,0.0035079879343090157,0.0019215730086023907,0.0007596916545637358,0.000402189699474919,0.0002010948497374595,0.0004468774438610211,2.2343872193051055e-05,0.0001564071053513574,0.00033515808289576583,0.0001564071053513574,8.937548877220422e-05,4.468774438610211e-05,4.468774438610211e-05,6.703161657915316e-05,4.468774438610211e-05,0.0,8.937548877220422e-05,4.468774438610211e-05,2.2343872193051055e-05,0.0,0.0,0.0,0.0,0.0,4.468774438610211e-05,2.2343872193051055e-05,0.0,0.0
l-pilot.lunarc.lu.se,0.12434595105376647,0.03067558669635542,0.0047599181716284755,0.003925550255588003,0.0027142088835051493,0.0011057888043909869,0.0008444205415349354,0.0005579207149427252,0.0002864998265922102,0.0002161314481309656,0.0001206315059335622,0.00010052625494463517,0.00010052625494463517,4.523681472508582e-05,6.03157529667811e-05,6.534206571401286e-05,8.544731670293988e-05,3.518418923062231e-05,7.036837846124462e-05,5.026312747231758e-05,2.513156373615879e-05,5.026312747231758e-05,2.0105250988927034e-05,2.0105250988927034e-05,1.5078938241695274e-05,2.0105250988927034e-05,2.0105250988927034e-05,1.5078938241695274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,0.3152013453278998,0.2769149185207126,0.16710539516618336,0.10050306472957285,0.0609028411452486,0.03472245445902626,0.018053956439276313,0.009960968292111964,0.005231299894418513,0.002684922868185575,0.0013567937625706464,0.0007500585236746179,0.0004347472971617212,0.0002914240123831318,0.0001194360706488245,0.00010510374217096557,5.255187108548278e-05,3.8219542607623846e-05,2.38872141297649e-05,4.77744282595298e-05,8.121652804120067e-05,4.299698543357683e-05,6.210675673738874e-05,6.210675673738874e-05,5.255187108548278e-05,3.8219542607623846e-05,4.77744282595298e-05,4.77744282595298e-05,6.688419956334173e-05,6.210675673738874e-05,5.255187108548278e-05,4.77744282595298e-05,3.3442099781670864e-05,1.9109771303811923e-05,9.554885651905961e-06,4.777442825952981e-06,4.777442825952981e-06
arcce1.slac.stanford.edu,0.019025349418079398,0.07102619971302546,0.01134612318648031,0.004836052505712919,0.002550884838178243,0.0017005898921188286,0.0015411595897326885,0.0011160121167029813,0.0005580060583514906,0.0001860020194504969,0.00010628686825742679,0.0001860020194504969,5.3143434128713395e-05,7.97151511930701e-05,5.3143434128713395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ldmx.cnsi.ucsb.edu,0.058173386577354116,0.13133238868135172,0.07052256430074284,0.033870067413800505,0.01685774399931298,0.012048606638327108,0.009755678646571342,0.005496156983983855,0.002550560350380008,0.0015114431705955601,0.0007127828588604062,0.000532440207823436,0.00021469363218686933,0.00018034265103697024,0.00016316716046202068,0.00013740392459959637,6.0114217012323416e-05,5.1526471724848644e-05,1.7175490574949547e-05,8.587745287474773e-06,0.0,1.7175490574949547e-05,1.7175490574949547e-05,1.7175490574949547e-05,5.1526471724848644e-05,2.5763235862424322e-05,8.587745287474773e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7175490574949547e-05,8.587745287474773e-06,0.0
